user_id,product_id,rating,review_text,review_date,votes
U01001,P00360,4,"Khá hài lòng với sản phẩm này, mặc dù có một vài chi tiết nhỏ có thể cải thiện.",2024-05-19,28
U01001,P00042,5,"Một trong những mua sắm tốt nhất của tôi trong năm nay, rất đáng giá.",2024-05-14,53
U01002,P00363,5,Quá xuất sắc! Chính xác như mô tả và hoạt động hoàn hảo.,2024-05-22,31
U01002,P00222,3,"Sản phẩm bình thường, không quá nổi bật nhưng cũng không tệ.",2024-05-17,7
U01002,P00109,4,"Sản phẩm tốt, nhưng giao hàng hơi chậm.",2024-05-25,15
U01003,P00261,5,"Sản phẩm chất lượng cao, đóng gói cẩn thận. Rất hài lòng!",2024-05-23,36
U01003,P00047,2,"Thất vọng với chất lượng, không như quảng cáo trên website.",2024-05-19,19
U01003,P00426,4,Đáng mua với giá tiền này. Có một vài điểm nhỏ cần cải thiện.,2024-05-20,21
U01004,P00050,5,Tuyệt vời! Đã vượt qua mọi mong đợi của tôi.,2024-05-16,44
U01004,P00384,4,"Rất hài lòng với chức năng, nhưng thiết kế có thể được cải thiện.",2024-05-21,16
U01004,P00294,3,"Sản phẩm ổn, nhưng tôi nghĩ có thể tốt hơn với mức giá này.",2024-05-20,12
U01005,P00351,4,"Sản phẩm khá tốt, đáng giá với số tiền bỏ ra.",2024-05-25,19
U01005,P00298,2,"Không đáp ứng được mong đợi, sẽ không mua lại.",2024-05-25,8
U01005,P00328,1,Sản phẩm kém chất lượng và dịch vụ khách hàng tệ hại.,2024-05-27,27
U01006,P00247,5,"Một sản phẩm tuyệt vời, giá cả hợp lý và chất lượng cao.",2024-05-15,38
U01006,P00337,5,"Chất lượng tuyệt vời, giao hàng nhanh. Rất hài lòng!",2024-05-15,33
U01006,P00224,3,"Sản phẩm tạm ổn, nhưng có một số vấn đề nhỏ cần khắc phục.",2024-05-15,11
U01007,P00066,3,"Sản phẩm đúng như mô tả, nhưng không có gì đặc biệt.",2024-05-24,9
U01007,P00330,4,"Rất hài lòng với chất lượng, giá hơi cao nhưng đáng.",2024-05-24,22
U01007,P00296,5,"Sản phẩm xuất sắc, đáng đồng tiền bát gạo!",2024-05-16,47
U01008,P00053,4,"Sản phẩm tốt, giao hàng đúng hẹn và đóng gói cẩn thận.",2024-05-17,15
U01008,P00426,2,"Không như mong đợi, chất lượng kém hơn so với quảng cáo.",2024-05-24,13
U01009,P00254,5,"Rất hài lòng với sản phẩm này, sẽ giới thiệu cho bạn bè.",2024-05-17,29
U01009,P00475,4,"Sản phẩm chất lượng tốt, giao hàng nhanh.",2024-05-19,18
U01009,P00327,3,"Sản phẩm bình thường, không có gì đặc biệt.",2024-05-17,7
U01010,P00150,4,"Chất lượng tốt, giao hàng nhanh, nhưng giá hơi cao.",2024-05-26,21
U01010,P00434,3,"Sản phẩm ổn, nhưng có một vài vấn đề nhỏ cần cải thiện.",2024-05-15,10
U01011,P00030,5,Tuyệt vời! Đúng như mong đợi và hoạt động hoàn hảo.,2024-05-17,33
U01011,P00035,4,"Sản phẩm tốt, đáng với số tiền bỏ ra.",2024-05-17,24
U01011,P00117,2,"Thất vọng với chất lượng, không như quảng cáo.",2024-05-23,15
U01012,P00255,3,"Sản phẩm bình thường, không có gì đặc biệt.",2024-05-16,8
U01012,P00355,5,"Sản phẩm xuất sắc, vượt quá mong đợi của tôi!",2024-05-16,37
U01012,P00299,4,"Hài lòng với sản phẩm, giao hàng nhanh và đóng gói cẩn thận.",2024-05-24,20
U01013,P00403,4,"Sản phẩm tốt, đúng như mô tả trên website.",2024-05-15,16
U01013,P00316,5,Tuyệt vời! Một trong những mua sắm sáng suốt nhất của tôi.,2024-05-25,43
U01013,P00462,3,"Sản phẩm ổn, nhưng có một số điểm cần cải thiện.",2024-05-22,11
U01014,P00418,3,"Sản phẩm bình thường, không có gì đặc biệt.",2024-05-22,9
U01014,P00429,2,"Không hài lòng với chất lượng, kém hơn so với mô tả.",2024-05-24,18
U01014,P00306,4,"Sản phẩm tốt, đáng với số tiền bỏ ra.",2024-05-15,23
U01015,P00144,5,Xuất sắc! Đúng như mong đợi và hoạt động hoàn hảo.,2024-05-18,31
U01015,P00262,4,"Hài lòng với sản phẩm, giá cả hợp lý và chất lượng tốt.",2024-05-17,26
U01015,P00348,5,"Sản phẩm tuyệt vời, chất lượng cao và giao hàng nhanh.",2024-05-15,40
U01016,P00174,4,"Sản phẩm tốt, đáng với số tiền bỏ ra.",2024-05-15,17
U01016,P00078,5,Tuyệt vời! Chất lượng vượt trội và giá cả hợp lý.,2024-05-23,35
U01016,P00473,3,"Sản phẩm ổn, nhưng có một số vấn đề nhỏ cần cải thiện.",2024-05-25,10
U01017,P00363,2,"Thất vọng với chất lượng, không như quảng cáo.",2024-05-18,14
U01017,P00122,3,"Sản phẩm bình thường, không có gì đặc biệt.",2024-05-20,6
U01017,P00352,5,"Sản phẩm xuất sắc, vượt quá mong đợi của tôi!",2024-05-17,39
U01018,P00358,4,"Sản phẩm tốt, đúng như mô tả trên website.",2024-05-15,22
U01018,P00301,2,"Không hài lòng với chất lượng, kém hơn so với mô tả.",2024-05-17,12
U01018,P00228,4,"Hài lòng với sản phẩm, giá cả hợp lý và chất lượng tốt.",2024-05-17,19
U01019,P00126,4,"Sản phẩm chất lượng tốt, giao hàng nhanh.",2024-05-16,25
U01019,P00424,3,"Sản phẩm ổn, nhưng có một số điểm cần cải thiện.",2024-05-23,13
U01020,P00415,5,Xuất sắc! Đúng như mong đợi và hoạt động hoàn hảo.,2024-05-17,36
U01020,P00053,3,"Sản phẩm bình thường, không có gì đặc biệt.",2024-05-25,8
U01020,P00356,4,"Hài lòng với sản phẩm, giá cả hợp lý và chất lượng tốt.",2024-05-26,20
U01021,P00290,5,"Sản phẩm tuyệt vời, chất lượng cao và đáng giá.",2024-05-17,38
U01021,P00177,3,"Sản phẩm ổn, nhưng có một số vấn đề nhỏ cần cải thiện.",2024-05-25,11
U01022,P00368,2,"Không hài lòng với chất lượng, kém hơn so với mô tả.",2024-05-18,15
U01022,P00096,4,"Sản phẩm tốt, đúng như mô tả trên website.",2024-05-17,22
U01022,P00443,4,"Hài lòng với sản phẩm, giao hàng nhanh và đóng gói cẩn thận.",2024-05-19,19
U01023,P00449,3,"Sản phẩm bình thường, không có gì đặc biệt.",2024-05-19,9
U01023,P00436,3,"Sản phẩm ổn, nhưng có một số điểm cần cải thiện.",2024-05-23,14
U01023,P00269,5,"Sản phẩm xuất sắc, vượt quá mong đợi của tôi!",2024-05-18,42
U01024,P00484,4,"Sản phẩm tốt, đáng với số tiền bỏ ra.",2024-05-23,24
U01024,P00285,5,Tuyệt vời! Chất lượng vượt trội và giá cả hợp lý.,2024-05-14,37
U01024,P00114,2,"Thất vọng với chất lượng, không như quảng cáo.",2024-05-18,17
U01025,P00488,3,"Sản phẩm bình thường, không có gì đặc biệt.",2024-05-17,10
U01025,P00427,5,"Sản phẩm tuyệt vời, chất lượng cao và giao hàng nhanh.",2024-05-14,39
U01025,P00176,4,"Hài lòng với sản phẩm, giá cả hợp lý và chất lượng tốt.",2024-05-19,21
U01026,P00269,4,"Sản phẩm chất lượng tốt, giao hàng nhanh.",2024-05-21,26
U01026,P00437,2,"Không hài lòng với chất lượng, kém hơn so với mô tả.",2024-05-18,16
