product_id_1,product_name_1,product_type_1,product_id_2,product_name_2,product_type_2,compatibility_type,compatibility_score,notes
P10001,Vi điều khiển Arduino,Linh kiện vi xử lý,P10002,Vi điều khiển Arduino,Linh kiện vi xử lý,Không tương thích,0.13,Cần adapter chuyển đổi
P10001,Vi điều khiển Arduino,Linh kiện vi xử lý,P10003,Vi điều khiển Arduino,Linh kiện vi xử lý,Tương thích hoàn toàn,0.86,Cần cài đặt driver
P10001,Vi điều khiển Arduino,Linh kiện vi xử lý,P10004,Vi điều khiển ESP,Linh kiện vi xử lý,Không tương thích,0.31,Cần firmware tương thích
P10001,Vi điều khiển Arduino,Linh kiện vi xử lý,P10005,Vi điều khiển ESP,Linh kiện vi xử lý,Tương thích hoàn toàn,0.9,Cần cài đặt driver
P10001,Vi điều khiển Arduino,Linh kiện vi xử lý,P10006,Raspberry Pi,Linh kiện vi xử lý,Tương thích hoàn toàn,0.91,Cần cài đặt driver
P10001,Vi điều khiển Arduino,Linh kiện vi xử lý,P10007,Raspberry Pi,Linh kiện vi xử lý,Tương thích một phần,0.66,Cần firmware tương thích
P10001,Vi điều khiển Arduino,Linh kiện vi xử lý,P10008,STM32,Linh kiện vi xử lý,Tương thích hoàn toàn,0.96,Cần nguồn điện phù hợp
P10001,Vi điều khiển Arduino,Linh kiện vi xử lý,P10009,STM32,Linh kiện vi xử lý,Không tương thích,0.16,Cần phần mềm hỗ trợ
P10001,Vi điều khiển Arduino,Linh kiện vi xử lý,P10010,Linh kiện FPGA,Linh kiện vi xử lý,Tương thích một phần,0.51,Có thể kết nối trực tiếp
P10001,Vi điều khiển Arduino,Linh kiện vi xử lý,P10011,Linh kiện FPGA,Linh kiện vi xử lý,Tương thích một phần,0.69,Cần nguồn điện phù hợp
P10001,Vi điều khiển Arduino,Linh kiện vi xử lý,P10012,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích hoàn toàn,0.82,Cần cài đặt driver
P10001,Vi điều khiển Arduino,Linh kiện vi xử lý,P10013,Vi xử lý ARM,Linh kiện vi xử lý,Tương thích một phần,0.8,Cần phần mềm hỗ trợ
P10001,Vi điều khiển Arduino,Linh kiện vi xử lý,P10014,Vi điều khiển PIC,Linh kiện vi xử lý,Tương thích một phần,0.63,Cần firmware tương thích
P10001,Vi điều khiển Arduino,Linh kiện vi xử lý,P10015,Vi xử lý Intel,Linh kiện vi xử lý,Không tương thích,0.01,Cần firmware tương thích
P10001,Vi điều khiển Arduino,Linh kiện vi xử lý,P10016,Module DSP,Linh kiện vi xử lý,Không tương thích,0.1,Cần phần mềm hỗ trợ
