product_id,category_id,subcategory_id,category_name,subcategory_name
P00002,C113,SC1131,Dụng cụ điện tử,Mỏ hàn
P00003,C113,SC1131,Dụng cụ điện tử,Mỏ hàn
P00004,C113,SC1139,Dụng cụ điện tử,Máy khò nhiệt
P00007,C108,SC1088,Nguồn điện & Pin,Tụ siêu
P00008,C109,SC1093,Linh kiện quang điện tử,LED Matrix
P00011,C105,SC1060,Công cụ phát triển,Board thí nghiệm
P00013,C109,SC1092,Linh kiện quang điện tử,LED RGB
P00014,C106,SC1064,Thiết bị truyền thông,Module RF
P00018,C105,SC1056,Công cụ phát triển,Máy hiện sóng
P00019,C106,SC1066,Thiết bị truyền thông,Module NFC/RFID
P00021,C108,SC1085,Nguồn điện & Pin,Bộ sạc pin
P00022,C105,SC1052,Công cụ phát triển,Máy lập trình
P00026,C107,SC1072,Mạch điện & PCB,Vật liệu làm PCB
P00030,C102,SC1025,Linh kiện thụ động,Crystal & Oscillator
P00031,C107,SC1075,Mạch điện & PCB,Jumper & Connector
P00032,C111,SC1120,Thiết bị âm thanh,Còi & Buzzer
P00035,C102,SC1025,Linh kiện thụ động,Crystal & Oscillator
P00036,C112,SC1129,Thiết bị IoT,Bộ điều khiển nhiệt độ
P00039,C107,SC1074,Mạch điện & PCB,Board hàn thử
P00042,C101,SC1011,Linh kiện vi xử lý,Vi điều khiển Arduino
P00045,C110,SC1104,Linh kiện cơ điện tử,Driver động cơ
P00047,C101,SC1013,Linh kiện vi xử lý,Raspberry Pi
P00050,C101,SC1014,Linh kiện vi xử lý,STM32
P00052,C107,SC1080,Mạch điện & PCB,Vỏ bảo vệ mạch
P00053,C102,SC1022,Linh kiện thụ động,Tụ điện
P00055,C107,SC1076,Mạch điện & PCB,Ốc vít & Spacer
P00060,C106,SC1064,Thiết bị truyền thông,Module RF
P00065,C105,SC1055,Công cụ phát triển,Máy đo đa năng
P00066,C102,SC1021,Linh kiện thụ động,Điện trở
P00068,C110,SC1103,Linh kiện cơ điện tử,Động cơ bước
P00069,C110,SC1101,Linh kiện cơ điện tử,Động cơ DC
P00070,C113,SC1135,Dụng cụ điện tử,Dao cắt
P00071,C107,SC1071,Mạch điện & PCB,Board mạch in PCB
P00072,C106,SC1065,Thiết bị truyền thông,Module GSM/GPRS
P00078,C103,SC1034,Linh kiện chủ động,Thyristor
P00080,C108,SC1084,Nguồn điện & Pin,Bộ chuyển đổi DC-DC
P00081,C111,SC1115,Thiết bị âm thanh,IC xử lý âm thanh
P00083,C105,SC1052,Công cụ phát triển,Máy lập trình
P00085,C112,SC1126,Thiết bị IoT,Công tắc thông minh
P00087,C109,SC1096,Linh kiện quang điện tử,Phototransistor
P00093,C112,SC1130,Thiết bị IoT,Bộ thu thập dữ liệu IoT
P00096,C104,SC1043,Cảm biến & Đo lường,Cảm biến chuyển động
P00099,C109,SC1096,Linh kiện quang điện tử,Phototransistor
P00101,C106,SC1065,Thiết bị truyền thông,Module GSM/GPRS
P00102,C107,SC1072,Mạch điện & PCB,Vật liệu làm PCB
P00104,C111,SC1114,Thiết bị âm thanh,Module phát âm
P00105,C109,SC1098,Linh kiện quang điện tử,Opto-isolator
P00106,C108,SC1087,Nguồn điện & Pin,Pin năng lượng mặt trời
P00109,C101,SC1012,Linh kiện vi xử lý,Vi điều khiển ESP
P00111,C105,SC1055,Công cụ phát triển,Máy đo đa năng
P00114,C104,SC1046,Cảm biến & Đo lường,Module GPS
P00115,C106,SC1066,Thiết bị truyền thông,Module NFC/RFID
P00116,C105,SC1053,Công cụ phát triển,Công cụ debug
P00117,C102,SC1026,Linh kiện thụ động,Cầu chì
P00118,C111,SC1114,Thiết bị âm thanh,Module phát âm
P00120,C110,SC1110,Linh kiện cơ điện tử,Động cơ rung
P00122,C103,SC1035,Linh kiện chủ động,Mosfet
P00125,C112,SC1125,Thiết bị IoT,Khóa thông minh
P00126,C103,SC1039,Linh kiện chủ động,Bộ chuyển đổi ADC/DAC
P00127,C111,SC1111,Thiết bị âm thanh,Loa
P00131,C108,SC1086,Nguồn điện & Pin,Bộ điều khiển nguồn
P00137,C108,SC1083,Nguồn điện & Pin,Bộ nguồn điều chỉnh
P00141,C107,SC1071,Mạch điện & PCB,Board mạch in PCB
P00142,C110,SC1105,Linh kiện cơ điện tử,Rơ-le
P00143,C112,SC1123,Thiết bị IoT,Gateway IoT
P00144,C103,SC1032,Linh kiện chủ động,Transistor
P00147,C110,SC1106,Linh kiện cơ điện tử,Solenoid
P00149,C106,SC1061,Thiết bị truyền thông,Module WiFi
P00150,C102,SC1024,Linh kiện thụ động,Biến trở
P00157,C111,SC1115,Thiết bị âm thanh,IC xử lý âm thanh
P00158,C110,SC1103,Linh kiện cơ điện tử,Động cơ bước
P00159,C113,SC1132,Dụng cụ điện tử,Thiếc hàn
P00160,C110,SC1101,Linh kiện cơ điện tử,Động cơ DC
P00164,C108,SC1081,Nguồn điện & Pin,Adapter nguồn
P00166,C107,SC1077,Mạch điện & PCB,Socket IC
